transcription_factor	no_search_sites	no_background_sites	sum_search_sites	sum_background_sites	no_gene_sites	wilcox_pval	wilcox_adjusted
AHRARNT_01	170	134	393	265	230	0.00017015971413415	0.0156830536526975
BEN_02	228	228	1966	1638	230	1.86350964222631e-05	0.00343506944050383
CACCCBINDINGFACTOR_Q6	206	184	881	766	230	0.000559694277802193	0.0281373577840557
ETV5HES7_01	153	120	515	347	230	0.000389722134372982	0.0259481854176786
FOXN4_01	230	228	3605	2995	230	4.27306335150105e-05	0.0059075100834502
IK1_01	230	227	1832	1535	230	0.000126702542637075	0.0140133012156605
IRF4_09	157	114	375	173	230	3.09604967421067e-06	0.00142019245940768
IRF4_Q5	70	42	102	52	230	0.000550417538552605	0.0281373577840557
PAX2_Q2	204	196	688	515	230	0.000343635053306984	0.0259481854176786
PAX5_01	230	225	3086	2433	230	5.13631992552508e-06	0.00142019245940768
RREB_Q5	96	64	137	93	230	0.0009737341176649	0.0448729139223908
ZNF295_01	225	219	3075	2580	230	0.000422303198479399	0.0259481854176786
