transcription_factor	no_search_sites	no_background_sites	sum_search_sites	sum_background_sites	no_gene_sites	wilcox_pval	wilcox_adjusted
AHRARNT_01	503	535	1004	1276	876	0.00072232999506497	0.0159338624290683
AHRARNT_02	526	596	1045	1408	876	4.3534212181901e-07	3.43920276237018e-05
AHR_01	659	700	1594	1888	876	5.72194778113453e-05	0.00243402855612876
AP2ALPHA_03	802	812	12820	14391	876	0.0014952078155008	0.0275616640657315
AP2_Q6	704	730	6929	7491	876	0.00251537791096067	0.0375947022908446
BTEB3_Q5	821	819	8599	9546	876	0.00208169190685534	0.0331719910614157
CACCCBINDINGFACTOR_Q6	663	695	2687	3039	876	0.00323332336453482	0.0425720909663751
CMYC_02	424	497	878	1119	876	0.000138363813030345	0.00542860047293104
CTCF_04	624	671	2168	2581	876	0.000170974607765472	0.00556170341731211
CTCF_06	800	834	4276	4671	876	0.00288948160781722	0.0399369817769198
E2F1EOMES_02	14	33	14	34	876	0.00247135498547599	0.0375947022908446
E2F3FOXI1_01	26	54	27	56	876	0.000679831997006158	0.0156644622643502
EGR_Q6	506	570	2282	2499	876	0.0019081190118844	0.0319754488961234
ERBETA_Q5	639	663	1371	1679	876	0.00375387086756381	0.0471793315855179
ETV5HES7_01	443	482	1177	1494	876	0.00283401070489787	0.0399369817769198
ETV6_01	2	12	2	13	876	0.0036494530674999	0.0469336638680802
FOXN4_01	858	864	9996	11925	876	3.91253174624183e-13	2.16363005567173e-10
HIC1_03	483	545	1161	1346	876	0.000406003603554796	0.0102054542166274
HIF1_Q5	478	546	889	1260	876	3.72672651366708e-07	3.43920276237018e-05
KAISO_Q2	810	828	12790	13981	876	0.00074915085561623	0.0159338624290683
LRF_Q6	636	677	2511	2950	876	0.000197323043984832	0.00576929085645373
MAFB_Q4	812	831	3350	3666	876	0.00170273613576363	0.0295741853399619
MEIS1EOMES_01	797	831	3427	3907	876	0.000154934422709799	0.00542860047293104
MTF1_01	805	837	3564	4202	876	2.8079970618329e-07	3.43920276237018e-05
MYOGNF1_01	843	856	6824	7365	876	0.00266242287892431	0.0387452592643459
NRF1_02	5	27	12	72	876	4.34639868035337e-05	0.00200296539186284
PAX2_Q2	703	720	1823	2081	876	0.000311603081133973	0.00861582519335435
PAX3_01	855	859	6361	7281	876	3.563401057768e-08	9.85280392472851e-06
PAX5_01	852	853	8095	9418	876	9.50728251356567e-08	1.75250907666727e-05
PBX1_05	808	823	3486	3842	876	0.00296096971582949	0.0399369817769198
PSF_Q5	355	417	498	613	876	0.000649075142084934	0.0156060240683899
RREB1_01	715	758	2790	3450	876	0.00113422682359559	0.0224009797660129
SP2_04	804	820	5839	6952	876	2.91347549849313e-06	0.00015609609920749
SP3_Q3	777	794	4082	4629	876	0.00136911609453099	0.0261076275957116
SREBP1_02	790	805	3224	3878	876	2.83141117715896e-06	0.00015609609920749
TAXCREB_01	619	644	1401	1670	876	0.00171134526379527	0.0295741853399619
TAXCREB_02	843	853	6085	7034	876	6.29340380294025e-07	4.35031537878245e-05
TFAP2CELK1_01	3	17	3	18	876	0.000821614021117515	0.0168278723584439
THAP1_01	837	860	7291	7939	876	0.000396902884856984	0.0102054542166274
ZBTB2_Q3_01	688	718	2057	2276	876	0.00209949310515289	0.0331719910614157
ZF5_B	800	813	7867	10172	876	4.34170904263277e-07	3.43920276237018e-05
ZGPAT_01	763	816	7032	7813	876	0.00015706619813182	0.00542860047293104
ZNF295_01	824	845	9516	10686	876	0.000198221566496602	0.00576929085645373
ZNF777_02	822	838	4869	5681	876	3.1049856985215e-06	0.00015609609920749
