gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSAPLG00000001183	1575.99473281327	2.62876436912986	0.336418842148761	1.73918873668021e-15	3.24567402039261e-12
ENSAPLG00000001610	3124.9980707344	4.0355803078041	0.436444650525575	1.76256371108483e-21	8.22324099406628e-18
ENSAPLG00000002252	1824.17903281169	2.46135655800351	0.265664256211766	7.13893150690453e-21	2.22044566303087e-17
ENSAPLG00000002904	2949.56132663857	2.1336653408651	0.352212513905745	6.30006955067325e-10	3.26588605429623e-07
ENSAPLG00000003551	841.76961394174	0.933507249388349	0.858016996157209	0.000123077667931023	0.0239257858221744
ENSAPLG00000005382	190.886510740056	3.50588184343914	0.532865982449886	5.93303064048982e-12	5.03282808240096e-09
ENSAPLG00000005501	601.078433692756	1.80359995059538	0.52614615307642	4.07574472020557e-06	0.00126769246614127
ENSAPLG00000006016	619.277448781177	2.13514131637104	1.30207770737078	3.13244378255566e-05	0.00749457254744278
ENSAPLG00000006787	427.84379133708	0.970550698017486	0.543763342081255	3.12025978553227e-05	0.00749457254744278
ENSAPLG00000006987	321.597268813241	2.14266488419016	0.347048925303282	3.03578096674452e-10	1.77042951254332e-07
ENSAPLG00000007508	289.604487396524	2.91503200883014	0.37993725690588	4.06862656644202e-15	6.32739241524508e-12
ENSAPLG00000009754	262.911490201315	1.12832723574598	0.403470190596456	8.27070167571324e-06	0.00244373861894979
ENSAPLG00000010291	663.941135329994	1.41592256799434	0.542911522064127	1.15067726256131e-05	0.00315793221675282
ENSAPLG00000010356	3060.78166352047	1.80677506369377	0.402179038853804	7.05787010804238e-07	0.000263427943912574
ENSAPLG00000010386	991.388531982333	1.43148315348288	1.12709138703602	7.98894538803074e-05	0.0165655220923811
ENSAPLG00000010410	2181.62273492525	0.624230429908541	0.541309393390306	8.44138566461063e-05	0.0171231673122786
ENSAPLG00000011206	2850.91717920728	1.7136270072969	0.248806462565509	3.4810836370448e-12	3.60911015747389e-09
ENSAPLG00000011338	814.22495763347	1.74979733409886	0.273797973512856	9.85218643606279e-11	7.07159627960784e-08
ENSAPLG00000011810	373.02167117019	2.40124299304241	0.423360966862186	5.00945367053821e-09	2.3371606099896e-06
ENSAPLG00000012752	245.385426104289	1.23099577607707	0.50472337129358	1.3674623458666e-05	0.00364565461408034
ENSAPLG00000013187	317.827238098414	1.9145531316113	0.341639549565036	1.0445219386111e-08	4.64115914722867e-06
ENSAPLG00000013226	4076.39780595604	1.62883486260403	0.213802731294194	1.6559043367698e-14	2.20732048091415e-11
ENSAPLG00000014262	445.391007804843	0.836197100698452	0.421546285438871	2.05633701332219e-05	0.00532991129758594
ENSAPLG00000014604	1742.69426894301	1.67233871409509	0.199728442858407	3.53970985921945e-17	8.25725817409417e-14
ENSAPLG00000014881	188.298322116183	1.69861962077029	0.279751695367336	7.71610243706605e-10	3.78941851790859e-07
ENSAPLG00000015091	980.617669175988	2.20188156365651	0.350395295500661	1.44252771087808e-10	9.61444719300241e-08
ENSAPLG00000015937	58.7309027440973	1.85654433459835	1.15693801916582	4.01537396845099e-05	0.00892082249990861
ENSAPLG00000015955	305.309440362032	1.06355662909517	0.661159629900048	4.41510550858737e-05	0.0095807789536346
ENSAPLG00000015976	709.269196531147	2.86000351673953	0.288995200247542	1.12239991974164e-23	1.04731136511093e-19
ENSAPLG00000016221	334.69394860209	0.592016849841294	0.473430462074878	6.3081996567908e-05	0.013377684317617
ENSAPLG00000017215	280.64249115009	2.02341877812676	0.519854541456975	2.00556724605637e-06	0.000693109184183408
ENSAPLG00000019496	1145.61378726864	1.50413017612337	0.241832138469034	3.4005657775083e-10	1.86651054529e-07
ENSAPLG00000020060	108.315512051347	1.72869085127167	0.602708634662941	8.38062756471902e-06	0.00244373861894979
ENSAPLG00000020439	48.0715959313559	2.77760366177996	0.663634528405854	8.16604260524966e-07	0.000293066705959941
ENSAPLG00000020790	118.287417665365	3.49211021962522	0.564668150074101	7.75503168660063e-11	6.03018338897254e-08
ENSAPLG00000022011	50.4226026681161	3.05447255588103	0.66661567178382	2.69476900961454e-07	0.000109325607081362
ENSAPLG00000022262	1513.45721280121	3.68011901177283	0.536105394495762	6.94525655907444e-13	8.10077361909045e-10
ENSAPLG00000022634	54.1331343825283	2.12617769730978	0.600063163280764	3.22502052403983e-06	0.00103767815551089
ENSAPLG00000023370	212.007634040388	2.65783543015461	0.396064978057273	5.83288715054825e-12	5.03282808240096e-09
ENSAPLG00000023763	1125.46023070222	1.26635121910574	0.327390205132016	2.12562833564201e-06	0.000708365642852699
ENSAPLG00000027117	530.203365244826	0.99593879900266	0.58908540640758	3.70889862724679e-05	0.00859695102602939
ENSAPLG00000027465	90.6094669030314	1.72003080264955	1.01053419782699	3.77746213768305e-05	0.00859695102602939
ENSAPLG00000028436	43.8550021677628	2.46107520039855	1.74593705963717	2.23019307726501e-05	0.00562430583890805
ENSAPLG00000029084	128.855649073069	1.84432296694629	0.664787981607935	9.26237007985951e-06	0.00261900530955058
ENSAPLG00000029718	138.277360853767	1.43198347077356	0.302641331852519	4.21059053536388e-07	0.000163704251189501
ENSAPLG00000030443	430.936851488157	1.83361448730214	0.363918695302	1.48430880862363e-07	6.29549340603051e-05
ENSAPLG00000031101	671.259149452104	1.39411866546031	0.221707343932262	2.32043683809162e-10	1.44346640908219e-07
