ensembl_gene_id	chromosome_name	start_position	end_position	strand
ENSGALG00000008297	10	20469938	20483264	1
ENSGALG00000001118	17	9627008	9673191	1
ENSGALG00000008614	3	16096879	16112242	1
ENSGALG00000016870	1	145329072	145382220	1
ENSGALG00000000504	26	1539943	1544102	-1
ENSGALG00000015464	1	93435286	93470481	1
ENSGALG00000013993	3	56889501	56916337	1
ENSGALG00000037675	2	136788122	136908061	1
ENSGALG00000036942	26	1492029	1493771	-1
ENSGALG00000036163	10	20457103	20464813	1
ENSGALG00000045021	2	431018	442278	-1
ENSGALG00000033887	1	61607575	61627406	1
ENSGALG00000006027	10	11664716	11683763	1
ENSGALG00000006002	10	11535844	11547540	1
ENSGALG00000044935	2	417866	419527	1
ENSGALG00000031348	10	11184028	11211748	1
ENSGALG00000030120	10	11166145	11169393	-1
ENSGALG00000028158	10	10988962	11016023	1
ENSGALG00000007489	6	23106192	23119460	-1
ENSGALG00000007484	6	23099863	23103500	1
ENSGALG00000004960	10	10623539	10768837	-1
ENSGALG00000007304	6	23021332	23035696	1
ENSGALG00000051954	7	35095688	35100528	-1
ENSGALG00000013990	3	56858322	56862421	-1
ENSGALG00000016105	4	90633304	90698669	-1
ENSGALG00000002033	14	13797492	13799633	1
ENSGALG00000051831	10	8707667	8717325	-1
ENSGALG00000035935	10	8592962	8676758	-1
ENSGALG00000016693	1	130482654	130498132	-1
ENSGALG00000035584	7	618031	671774	-1
ENSGALG00000040388	1	127826528	127886710	1
ENSGALG00000016622	1	127723784	127825809	-1
ENSGALG00000012121	5	5568465	5575654	1
ENSGALG00000002683	14	13403863	13409668	1
ENSGALG00000014118	4	88644122	88649461	1
ENSGALG00000009479	2	22911382	22916121	-1
ENSGALG00000032247	1	81030190	81054213	-1
ENSGALG00000011870	5	54161509	54192262	-1
ENSGALG00000014997	1	80955255	80972874	-1
ENSGALG00000028520	3	15683584	15685913	1
ENSGALG00000042079	3	37941890	37973181	1
ENSGALG00000010843	3	37893859	37919523	-1
ENSGALG00000012156	7	29190336	29372124	-1
ENSGALG00000045085	6	20187816	20191669	1
ENSGALG00000006378	6	20166929	20179294	-1
ENSGALG00000004038	10	6684696	6695463	1
ENSGALG00000027501	10	20435393	20443467	-1
ENSGALG00000011687	5	52000607	52016763	-1
ENSGALG00000012112	7	28381630	28385331	-1
ENSGALG00000013575	2	89717661	89722211	1
ENSGALG00000016563	1	123496180	123509692	1
ENSGALG00000012087	7	28275428	28285479	1
ENSGALG00000008976	2	20850062	20974465	1
ENSGALG00000045511	7	28261411	28270003	1
ENSGALG00000012075	7	28256073	28261454	-1
ENSGALG00000049308	5	51719243	51729815	1
ENSGALG00000017302	1	195701721	195741913	1
ENSGALG00000012072	7	28237978	28253588	-1
ENSGALG00000026422	7	28217915	28235171	-1
ENSGALG00000012067	7	28207851	28216993	-1
ENSGALG00000011608	5	51691469	51709667	1
ENSGALG00000005309	12	7348689	7371332	-1
ENSGALG00000010433	8	21981390	21991112	-1
ENSGALG00000011572	5	50822509	50872096	1
ENSGALG00000053916	2	20712045	20753904	-1
ENSGALG00000041344	2	121272547	121278022	1
ENSGALG00000003802	10	5926089	5995672	1
ENSGALG00000008813	2	20644330	20664067	1
ENSGALG00000017126	1	179883997	179922552	1
ENSGALG00000055021	3	36252106	36294690	1
ENSGALG00000005969	6	18741815	18788695	-1
ENSGALG00000008163	3	2948220	3011913	1
ENSGALG00000025886	12	7057412	7082243	-1
ENSGALG00000026154	12	7037584	7054038	-1
ENSGALG00000011806	7	27920485	27939639	-1
ENSGALG00000033260	4	85384333	85405148	-1
ENSGALG00000026891	12	7012303	7029920	1
ENSGALG00000008764	2	20492485	20575251	1
ENSGALG00000043234	14	12510348	12511196	1
ENSGALG00000016543	1	122350876	122496961	-1
ENSGALG00000049024	18	3703058	3711715	1
ENSGALG00000031890	1	79075430	79099949	1
ENSGALG00000053281	2	120210420	120249139	1
ENSGALG00000004848	21	6397421	6405423	-1
ENSGALG00000016431	Z	82009343	82120633	1
ENSGALG00000037164	2	119316650	119443316	1
ENSGALG00000005123	12	6435529	6467522	-1
ENSGALG00000038549	3	2416491	2431112	1
ENSGALG00000029476	3	2366625	2408562	-1
ENSGALG00000015712	4	83930355	83937106	1
ENSGALG00000005739	6	18321285	18340590	-1
