transcription_factor	no_search_sites	no_background_sites	sum_search_sites	sum_background_sites	no_gene_sites	wilcox_pval	wilcox_adjusted
CPEB1_01	675	613	2175	1790	901	2.56357329800257e-06	0.000354414008448855
DLX3_01	619	580	2045	1718	901	0.000748590482864777	0.0272418821136263
FOXC1_Q4	674	610	2152	1837	901	3.61566599399187e-05	0.00333243882446251
FOXJ2_02	682	614	3015	2383	901	1.75799291385404e-07	9.70044021094175e-05
FOXL2_Q5	666	624	1607	1394	901	0.000788191887555191	0.0272418821136263
FOXO3_01	612	545	1455	1245	901	0.000519138456107205	0.0205059690162346
HNF3B_01	636	568	2093	1680	901	3.50829664048526e-07	9.70044021094175e-05
HOXD13_01	548	486	1229	1028	901	0.000206358664155115	0.0131374434727117
IRF4_Q5	232	176	312	217	901	0.000338546113625015	0.0169981351041324
ISRE_01	184	135	223	157	901	0.00101732021821407	0.0312543378151323
LHX3_01	543	478	2262	1786	901	0.000178769285368601	0.0131374434727117
MEF2_04	414	359	701	556	901	0.000947213059231092	0.0308122836326349
NKX22_01	539	475	1219	996	901	0.000421956692522388	0.0179493885357601
NKX61_01	335	287	546	408	901	0.00168587722427491	0.0466145052512011
NKX62_Q2	590	533	1823	1539	901	0.000368856457955857	0.0169981351041324
POU3F2_01	680	655	4069	3423	901	0.00132425592455229	0.0385428171724956
PRX2_Q2	743	717	4053	3338	901	9.59855812218851e-06	0.00106160052831405
SIX3_Q6	577	535	1545	1225	901	0.00030894071024015	0.0169981351041324
TEF3_Q3	769	726	4053	3357	901	9.48726650111161e-07	0.000174881945837157
TST1_01	805	769	5822	5093	901	0.00021381011076746	0.0131374434727117
