ensembl_gene_id	chromosome_name	start_position	end_position	strand
ENSAPLG00000009754	1	1009974	1030196	1
ENSAPLG00000006979	1	58078027	58136733	1
ENSAPLG00000010325	1	84765510	85088152	1
ENSAPLG00000003356	12	7452543	7467141	1
ENSAPLG00000006787	7	33640403	33649792	-1
ENSAPLG00000010867	21	15557852	15565656	-1
ENSAPLG00000014881	1	145663578	145665759	1
ENSAPLG00000006444	Z	11714084	11788824	-1
ENSAPLG00000006901	7	33670028	33681463	1
ENSAPLG00000009917	13	8987579	8994620	-1
ENSAPLG00000004444	1	33103465	33132407	1
ENSAPLG00000005594	1	58513977	58649849	1
ENSAPLG00000004614	14	11345967	11616036	-1
ENSAPLG00000011970	PEDO01001411.1	52	19127	1
ENSAPLG00000007231	3	107276435	107310094	-1
ENSAPLG00000024223	28	3354613	3358407	-1
ENSAPLG00000001819	5	31741429	31742296	-1
ENSAPLG00000012260	1	117077437	117079710	-1
ENSAPLG00000001050	7	4218405	4267822	-1
ENSAPLG00000014194	5	31769381	31781085	-1
ENSAPLG00000002467	Z	11945758	12116274	1
ENSAPLG00000007520	20	9527571	9544495	-1
ENSAPLG00000010931	5	53864318	53871856	-1
ENSAPLG00000001982	5	53960669	53962021	-1
ENSAPLG00000013593	3	71187766	71286194	-1
ENSAPLG00000008655	PEDO01007543.1	6834	11878	1
ENSAPLG00000026262	PEDO01005648.1	2084	21250	1
ENSAPLG00000015226	11	8389689	8443827	1
ENSAPLG00000011404	3	107645457	107646047	1
ENSAPLG00000029148	PEDO01005654.1	2629	8390	-1
ENSAPLG00000008439	14	12225303	12235862	1
ENSAPLG00000002880	3	12260178	12261095	-1
ENSAPLG00000012333	22	7952	15233	1
ENSAPLG00000008103	5	54217730	54269072	1
ENSAPLG00000026691	1	86290695	86310131	1
ENSAPLG00000003217	9	9741060	9754607	-1
ENSAPLG00000008744	5	3768142	4089655	-1
ENSAPLG00000012746	2	139887014	139890786	1
ENSAPLG00000016114	PEDO01019894.1	8447	36217	-1
ENSAPLG00000006120	14	12913690	12917317	1
ENSAPLG00000002239	2	40644165	40706073	1
ENSAPLG00000005340	14	12946604	12996969	1
ENSAPLG00000001879	7	34615468	34616484	1
ENSAPLG00000015625	PEDO01019894.1	57630	91845	-1
ENSAPLG00000011367	11	9072401	9075372	-1
ENSAPLG00000014033	1	59633409	59643121	-1
ENSAPLG00000012505	2	105952076	106083776	-1
ENSAPLG00000016421	1	86649772	86675523	1
ENSAPLG00000001014	26	1595929	1596659	-1
ENSAPLG00000012400	10	7217081	7224930	-1
ENSAPLG00000015886	5	55149226	55169282	1
ENSAPLG00000006431	22	743753	769550	-1
ENSAPLG00000031131	10	7357696	7393988	-1
ENSAPLG00000010959	24	3296400	3304507	-1
ENSAPLG00000022951	2	41073036	41077545	-1
ENSAPLG00000022698	24	3335031	3345458	-1
ENSAPLG00000015805	24	3481629	3485012	1
ENSAPLG00000029719	PEDO01011589.1	286134	299402	-1
ENSAPLG00000004211	13	10268374	10282853	1
ENSAPLG00000023467	26	1839549	1848149	1
ENSAPLG00000003674	19	4333485	4443846	-1
ENSAPLG00000012532	8	21026422	21258535	1
ENSAPLG00000009501	PEDO01007859.1	2877	8916	-1
ENSAPLG00000027117	28	3892686	3899722	1
ENSAPLG00000027434	28	3915104	3931021	1
ENSAPLG00000015725	11	9629902	9759662	-1
ENSAPLG00000026352	20	10285477	10311541	1
ENSAPLG00000004476	10	8378565	8391902	-1
ENSAPLG00000004495	10	8399313	8477766	-1
ENSAPLG00000017091	PEDO01018006.1	16	840	-1
ENSAPLG00000021420	6	17663474	17665527	1
ENSAPLG00000005322	6	17709662	17743573	-1
ENSAPLG00000017228	PEDO01011863.1	21	1962	-1
ENSAPLG00000029398	PEDO01020205.1	1642	5976	-1
ENSAPLG00000016125	PEDO01007999.1	21	3003	-1
ENSAPLG00000013315	Z	80454247	80464954	1
ENSAPLG00000012943	1	35115137	35153808	-1
ENSAPLG00000002292	6	17874013	17925787	-1
ENSAPLG00000019682	PEDO01011917.1	21	2780	1
ENSAPLG00000001248	PEDO01013967.1	1458	2705	-1
ENSAPLG00000009035	1	183570334	183588035	-1
ENSAPLG00000025864	PEDO01013978.1	1967	12071	-1
ENSAPLG00000011074	10	8876966	8920248	-1
