ensembl_gene_id	chromosome_name	start_position	end_position	strand
ENSAPLG00000006853	1	843421	843900	1
ENSAPLG00000006857	1	852893	859090	-1
ENSAPLG00000009754	1	1009974	1030196	1
ENSAPLG00000006979	1	58078027	58136733	1
ENSAPLG00000006787	7	33640403	33649792	-1
ENSAPLG00000012982	4	46734652	46739049	1
ENSAPLG00000010867	21	15557852	15565656	-1
ENSAPLG00000014881	1	145663578	145665759	1
ENSAPLG00000013650	5	31643289	31662915	1
ENSAPLG00000005479	PEDO01017650.1	3939	7922	-1
ENSAPLG00000009037	4	18013203	18092512	-1
ENSAPLG00000024223	28	3354613	3358407	-1
ENSAPLG00000019013	PEDO01007511.1	66	1723	-1
ENSAPLG00000012260	1	117077437	117079710	-1
ENSAPLG00000001050	7	4218405	4267822	-1
ENSAPLG00000008606	3	70969503	71067357	-1
ENSAPLG00000004825	1	58671152	58695541	1
ENSAPLG00000002467	Z	11945758	12116274	1
ENSAPLG00000010931	5	53864318	53871856	-1
ENSAPLG00000025152	PEDO01019772.1	299	4648	-1
ENSAPLG00000026819	28	3523646	3595442	-1
ENSAPLG00000014266	Z	43691030	43695748	1
ENSAPLG00000011207	PEDO01019794.1	128	2191	1
ENSAPLG00000016444	1	58985630	59002561	-1
ENSAPLG00000026857	PEDO01019801.1	21	3975	1
ENSAPLG00000011404	3	107645457	107646047	1
ENSAPLG00000006678	20	9947556	10064568	-1
ENSAPLG00000003957	8	19497847	19540474	1
ENSAPLG00000016136	1	59160579	59183718	1
ENSAPLG00000011471	11	8807781	8852831	-1
ENSAPLG00000021993	PEDO01011518.1	21	1566	-1
ENSAPLG00000010234	PEDO01019889.1	74	4003	-1
ENSAPLG00000026691	1	86290695	86310131	1
ENSAPLG00000003217	9	9741060	9754607	-1
ENSAPLG00000015034	5	32754223	32768260	1
ENSAPLG00000011026	3	41098073	41403194	-1
ENSAPLG00000027299	1	86378700	86384876	1
ENSAPLG00000006120	14	12913690	12917317	1
ENSAPLG00000001879	7	34615468	34616484	1
ENSAPLG00000011367	11	9072401	9075372	-1
