gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSGALG00000000293	60.8622154333336	1.35684238893582	2.05752262282457	7.28950342296119e-05	0.0378493446961446
ENSGALG00000002167	80.4409500001487	1.22091309703162	1.21000614202246	1.33048171583937e-05	0.0128296451170225
ENSGALG00000002907	176.400913392936	15.505534397317	3.26578923422869	4.3459283791193e-08	0.000195566777060368
ENSGALG00000003589	82.0888611016973	2.12233593338595	2.83307342602174	5.76755745060346e-05	0.0349018153536388
ENSGALG00000008905	18.7857538972688	22.9226460345695	3.38685902760423	4.18734894385215e-12	2.8264605371002e-08
ENSGALG00000009262	169.395901552162	7.20753524997394	1.96003485428642	6.04606758386519e-07	0.00136036520636967
ENSGALG00000009268	133.353797329567	2.02783183055777	4.0994302532047	0.000132431532393085	0.0486382046524738
ENSGALG00000010853	16.5637176041801	3.31422542163261	4.06508881556367	4.52348402443616e-05	0.0320846176998655
ENSGALG00000015544	101.508908347785	1.35153603402631	2.31266635973861	0.00010505566119927	0.0467615859842742
ENSGALG00000028256	130.93683240956	3.82936753903459	1.68237195071983	2.76137421843931e-06	0.0033889592680846
ENSGALG00000035219	2334.64876194418	8.12439124273236	2.59832080150739	1.11663466902362e-06	0.00215350971883127
ENSGALG00000035803	89.1625383296266	3.27972757765853	3.44998338460141	3.26272888899779e-05	0.0274929054967851
ENSGALG00000038540	64.2992027181084	-0.97359383545636	1.05028841296408	1.55714378844043e-05	0.0140142940959639
ENSGALG00000045607	20.470547936208	0.913965788862434	1.81936739579739	0.000151383504262006	0.0498457879887093
ENSGALG00000046192	480.370364206796	0.84821378252587	1.21962666990215	4.83568433607356e-05	0.0320846176998655
ENSGALG00000046715	18.471256962785	-7.26744050704145	1.74493082865656	3.04950760879979e-07	0.000823367054375943
ENSGALG00000049414	22.1922545642811	1.55121386560857	2.73598065828188	0.000114997152193049	0.0483198354901468
ENSGALG00000051194	7.18951906095384	5.16881477674899	2.87958791971313	6.62094437481991e-06	0.0074485624216724
ENSGALG00000051280	501.686280180944	0.861938110718567	0.678193137480863	2.41224068856511e-06	0.00325652492956289
ENSGALG00000052514	303.99644048852	0.636772819115164	0.932167025702831	4.99094053109019e-05	0.0320846176998655
ENSGALG00000054442	22.8690869135886	23.3694932400638	2.90052479082105	3.05018577050566e-16	4.11775079018265e-12
ENSGALG00000054477	23.9845594269302	2.67964803774934	0.618563073573242	7.93058632717124e-08	0.000267657288542029
