significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,,
TRUE,"1,36127390880006E-07",80,25,6,"0,24","0,075",GO:0140546,GO:BP,defense response to symbiont,25952,23224,,
TRUE,"1,36127390880006E-07",80,25,6,"0,24","0,075",GO:0051607,GO:BP,defense response to virus,25952,16035,,
TRUE,"1,06217010742316E-06",112,25,6,"0,24","0,053571428571429",GO:0009615,GO:BP,response to virus,25952,4006,,
TRUE,"3,93033204809563E-06",256,25,7,"0,28","0,02734375",GO:0002252,GO:BP,immune effector process,25952,920,,
TRUE,"9,80968100790076E-05",409,25,7,"0,28","0,017114914425428",GO:0051707,GO:BP,response to other organism,25952,16122,,
TRUE,"9,9739543344391E-05",410,25,7,"0,28","0,017073170731707",GO:0043207,GO:BP,response to external biotic stimulus,25952,12249,,
TRUE,"0,000131444361671",427,25,7,"0,28","0,016393442622951",GO:0009607,GO:BP,response to biotic stimulus,25952,3999,,
TRUE,"0,000171293338557",262,25,6,"0,24","0,022900763358779",GO:0098542,GO:BP,defense response to other organism,25952,22106,,
TRUE,"0,000625253822744",538,25,7,"0,28","0,013011152416357",GO:0044419,GO:BP,biological process involved in interspecies interaction between organisms,25952,12841,,
TRUE,"0,003188590333219",998,25,8,"0,32","0,008016032064128",GO:0009605,GO:BP,response to external stimulus,25952,3997,,
TRUE,"0,006829017515396",494,25,6,"0,24","0,012145748987854",GO:0006952,GO:BP,defense response,25952,2904,,
TRUE,"0,036674004292618",1000,25,7,"0,28","0,007",GO:0002376,GO:BP,immune system process,25952,1042,,
TRUE,"0,00131833929139",40,25,3,"0,12","0,075",GO:0003724,GO:MF,RNA helicase activity,25952,447,,
TRUE,"0,001529888938753",42,25,3,"0,12","0,071428571428571",GO:0003725,GO:MF,double-stranded RNA binding,25952,448,,
TRUE,"0,002667229529388",583,25,6,"0,24","0,010291595197256",GO:0017111,GO:MF,nucleoside-triphosphatase activity,25952,4001,,
TRUE,"0,003774505512967",620,25,6,"0,24","0,009677419354839",GO:0016462,GO:MF,pyrophosphatase activity,25952,3565,,
TRUE,"0,003878474503835",623,25,6,"0,24","0,009630818619583",GO:0016818,GO:MF,hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides,25952,3804
TRUE,"0,003878474503835",623,25,6,"0,24","0,009630818619583",GO:0016817,GO:MF,hydrolase activity, acting on acid anhydrides,25952,3803,
TRUE,"0,024611108858645",281,25,4,"0,16","0,01423487544484",GO:0016887,GO:MF,ATPase activity,25952,3871,,
TRUE,"0,026089394526437",108,25,3,"0,12","0,027777777777778",GO:0004386,GO:MF,helicase activity,25952,1015,,
TRUE,"0,040370852512662",1370,25,7,"0,28","0,005109489051095",GO:0035639,GO:MF,purine ribonucleoside triphosphate binding,25952,6370,,
TRUE,"0,047760301237474",1408,25,7,"0,28","0,004971590909091",GO:0032555,GO:MF,purine ribonucleotide binding,25952,5429,,
TRUE,"0,049877105311596",1418,25,7,"0,28","0,004936530324401",GO:0017076,GO:MF,purine nucleotide binding,25952,3978,,
TRUE,"0,049877105311596",1418,25,7,"0,28","0,004936530324401",GO:0032553,GO:MF,ribonucleotide binding,25952,5427,,
