significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,,
TRUE,"3,81168229942235E-47",11193,605,440,"0,727272727272727","0,039310283212722",GO:0008150,GO:BP,biological_process,25952,3550,,
TRUE,"3,35290057292609E-45",6590,605,320,"0,528925619834711","0,04855842185129",GO:0065007,GO:BP,biological regulation,25952,18687,,
TRUE,"8,17930733981664E-42",4426,605,248,"0,409917355371901","0,056032535020334",GO:0050896,GO:BP,response to stimulus,25952,15476,,
TRUE,"3,89066849769608E-41",10251,605,407,"0,672727272727273","0,039703443566481",GO:0009987,GO:BP,cellular process,25952,4294,,
TRUE,"4,68917977917958E-39",6201,605,297,"0,490909090909091","0,047895500725689",GO:0050789,GO:BP,regulation of biological process,25952,15387,,
TRUE,"1,06948254588812E-37",1000,605,107,"0,176859504132231","0,107",GO:0002376,GO:BP,immune system process,25952,1042,,
TRUE,"3,03299323625374E-36",5914,605,283,"0,467768595041322","0,047852553263443",GO:0050794,GO:BP,regulation of cellular process,25952,15391,,
TRUE,"3,21168532777662E-32",3853,605,211,"0,348760330578512","0,054762522709577",GO:0051716,GO:BP,cellular response to stimulus,25952,16130,,
TRUE,"4,87156316272316E-32",494,605,71,"0,117355371900826","0,143724696356275",GO:0006955,GO:BP,immune response,25952,2907,,
TRUE,"2,53174353597219E-30",998,605,97,"0,160330578512397","0,097194388777555",GO:0009605,GO:BP,response to external stimulus,25952,3997,,
TRUE,"6,0024358528212E-29",3360,605,188,"0,310743801652893","0,055952380952381",GO:0007154,GO:BP,cell communication,25952,3074,,
TRUE,"1,35994376177302E-28",3322,605,186,"0,307438016528926","0,055990367248645",GO:0023052,GO:BP,signaling,25952,7683,,
TRUE,"9,8399517959469E-28",2908,605,170,"0,28099173553719","0,058459422283356",GO:0048518,GO:BP,positive regulation of biological process,25952,14903,,
TRUE,"3,22600497403621E-27",3081,605,175,"0,289256198347107","0,056799740344044",GO:0007165,GO:BP,signal transduction,25952,3085,,
TRUE,"1,133954743877E-24",520,605,64,"0,105785123966942","0,123076923076923",GO:0002682,GO:BP,regulation of immune system process,25952,1336,,
TRUE,"2,04894663431624E-23",1752,605,119,"0,196694214876033","0,067922374429224",GO:0048583,GO:BP,regulation of response to stimulus,25952,14958,,
TRUE,"8,98758137116334E-23",409,605,55,"0,090909090909091","0,134474327628362",GO:0051707,GO:BP,response to other organism,25952,16122,,
TRUE,"1,01611851975363E-22",410,605,55,"0,090909090909091","0,134146341463415",GO:0043207,GO:BP,response to external biotic stimulus,25952,12249,,
TRUE,"1,12782547226322E-22",427,605,56,"0,092561983471074","0,131147540983607",GO:0009607,GO:BP,response to biotic stimulus,25952,3999,,
TRUE,"1,27021216753404E-21",1385,605,101,"0,166942148760331","0,072924187725632",GO:0070887,GO:BP,cellular response to chemical stimulus,25952,19192,,
TRUE,"1,40330091049618E-21",2664,605,149,"0,246280991735537","0,055930930930931",GO:0048522,GO:BP,positive regulation of cellular process,25952,14907,,
TRUE,"3,98501036888232E-21",1888,605,120,"0,198347107438017","0,063559322033898",GO:0042221,GO:BP,response to chemical,25952,11670,,
TRUE,"4,8555439572568E-21",6369,605,261,"0,431404958677686","0,040979745642958",GO:0071704,GO:BP,organic substance metabolic process,25952,19767,,
TRUE,"2,54216033363933E-20",1295,605,95,"0,15702479338843","0,073359073359073",GO:0010033,GO:BP,response to organic substance,25952,4328,,
TRUE,"5,08717710095683E-20",349,605,48,"0,079338842975207","0,137535816618911",GO:0045321,GO:BP,leukocyte activation,25952,13277,,
TRUE,"5,88306363208096E-20",5372,605,230,"0,380165289256198","0,042814594192107",GO:0043170,GO:BP,macromolecule metabolic process,25952,12238,,
TRUE,"5,95120238167238E-20",538,605,59,"0,097520661157025","0,109665427509294",GO:0044419,GO:BP,biological process involved in interspecies interaction between organisms,25952,12841,,
