significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,,
TRUE,"9,14110488189808E-15",494,193,29,"0,150259067357513","0,058704453441296",GO:0006955,GO:BP,immune response,25952,2907,,
TRUE,"6,38811059065518E-13",1000,193,37,"0,191709844559585","0,037",GO:0002376,GO:BP,immune system process,25952,1042,,
TRUE,"6,91970373071385E-12",112,193,15,"0,077720207253886","0,133928571428571",GO:0009615,GO:BP,response to virus,25952,4006,,
TRUE,"2,01028882929857E-11",427,193,24,"0,124352331606218","0,056206088992974",GO:0009607,GO:BP,response to biotic stimulus,25952,3999,,
TRUE,"3,51935654666106E-11",80,193,13,"0,067357512953368","0,1625",GO:0140546,GO:BP,defense response to symbiont,25952,23224,,
TRUE,"3,51935654666106E-11",80,193,13,"0,067357512953368","0,1625",GO:0051607,GO:BP,defense response to virus,25952,16035,,
TRUE,"7,26321105042922E-11",409,193,23,"0,119170984455959","0,056234718826406",GO:0051707,GO:BP,response to other organism,25952,16122,,
TRUE,"7,64606068090259E-11",410,193,23,"0,119170984455959","0,05609756097561",GO:0043207,GO:BP,response to external biotic stimulus,25952,12249,,
TRUE,"9,16391572166168E-11",256,193,19,"0,098445595854922","0,07421875",GO:0002252,GO:BP,immune effector process,25952,920,,
TRUE,"1,39150188600215E-10",262,193,19,"0,098445595854922","0,072519083969466",GO:0098542,GO:BP,defense response to other organism,25952,22106,,
TRUE,"3,60610423047295E-09",998,193,32,"0,16580310880829","0,032064128256513",GO:0009605,GO:BP,response to external stimulus,25952,3997,,
TRUE,"3,62988363640906E-09",494,193,23,"0,119170984455959","0,046558704453441",GO:0006952,GO:BP,defense response,25952,2904,,
TRUE,"2,03702217049926E-08",538,193,23,"0,119170984455959","0,04275092936803",GO:0044419,GO:BP,biological process involved in interspecies interaction between organisms,25952,12841,,
TRUE,"4,97297129884985E-07",167,193,13,"0,067357512953368","0,077844311377246",GO:0045087,GO:BP,innate immune response,25952,13177,,
TRUE,"1,1779970544388E-06",63,193,9,"0,046632124352332","0,142857142857143",GO:0060759,GO:BP,regulation of response to cytokine stimulus,25952,17584,,
TRUE,"3,04582015864526E-06",11193,193,124,"0,642487046632124","0,011078352541767",GO:0008150,GO:BP,biological_process,25952,3550,,
TRUE,"3,2328701920355E-06",368,193,17,"0,088082901554404","0,046195652173913",GO:0034097,GO:BP,response to cytokine,25952,9709,,
TRUE,"6,93640254597115E-06",4426,193,66,"0,341968911917098","0,014911884319928",GO:0050896,GO:BP,response to stimulus,25952,15476,,
TRUE,"1,22989441152566E-05",110,193,10,"0,051813471502591","0,090909090909091",GO:0002831,GO:BP,regulation of response to biotic stimulus,25952,1478,,
TRUE,"4,87576595815507E-05",244,193,13,"0,067357512953368","0,05327868852459",GO:0050776,GO:BP,regulation of immune response,25952,15379,,
TRUE,"5,26251369242128E-05",1549,193,33,"0,170984455958549","0,02130406714009",GO:0006950,GO:BP,response to stress,25952,2903,,
TRUE,"8,34434550691553E-05",6590,193,83,"0,430051813471503","0,012594840667678",GO:0065007,GO:BP,biological regulation,25952,18687,,
TRUE,"9,26791977409639E-05",520,193,18,"0,093264248704663","0,034615384615385",GO:0002682,GO:BP,regulation of immune system process,25952,1336,,
TRUE,"0,000186155646781",545,193,18,"0,093264248704663","0,03302752293578",GO:0070647,GO:BP,protein modification by small protein conjugation or removal,25952,19058,,
TRUE,"0,000265626909653",57,193,7,"0,036269430051814","0,12280701754386",GO:0001959,GO:BP,regulation of cytokine-mediated signaling pathway,25952,697,,
TRUE,"0,00038078897053",60,193,7,"0,036269430051814","0,116666666666667",GO:1903900,GO:BP,regulation of viral life cycle,25952,26912,,
TRUE,"0,000507659090375",39,193,6,"0,031088082901554","0,153846153846154",GO:0048525,GO:BP,negative regulation of viral process,25952,14910,,
TRUE,"0,000756930224465",10251,193,110,"0,569948186528497","0,010730660423373",GO:0009987,GO:BP,cellular process,25952,4294,,
TRUE,"0,00075704711489",170,193,10,"0,051813471502591","0,058823529411765",GO:0019221,GO:BP,cytokine-mediated signaling pathway,25952,6507,,
TRUE,"0,002334813631001",458,193,15,"0,077720207253886","0,032751091703057",GO:0032446,GO:BP,protein modification by small protein conjugation,25952,8801,,
TRUE,"0,00252397987364",345,193,13,"0,067357512953368","0,03768115942029",GO:0071345,GO:BP,cellular response to cytokine stimulus,25952,19458,,
TRUE,"0,00301781838245",6201,193,75,"0,38860103626943","0,012094823415578",GO:0050789,GO:BP,regulation of biological process,25952,15387,,
TRUE,"0,003265832037595",82,193,7,"0,036269430051814","0,085365853658537",GO:0050792,GO:BP,regulation of viral process,25952,15389,,
TRUE,"0,00472571205907",424,193,14,"0,072538860103627","0,033018867924528",GO:0016567,GO:BP,protein ubiquitination,25952,5874,,
TRUE,"0,005124473872039",904,193,21,"0,10880829015544","0,023230088495575",GO:0048584,GO:BP,positive regulation of response to stimulus,25952,14959,,
TRUE,"0,005252459622077",88,193,7,"0,036269430051814","0,079545454545455",GO:0043903,GO:BP,regulation of biological process involved in symbiotic interaction,25952,12557,,
TRUE,"0,00550197755946",1385,193,27,"0,139896373056995","0,019494584837545",GO:0070887,GO:BP,cellular response to chemical stimulus,25952,19192,,
TRUE,"0,007259534717181",1752,193,31,"0,160621761658031","0,017694063926941",GO:0048583,GO:BP,regulation of response to stimulus,25952,14958,,
TRUE,"0,007389896830978",130,193,8,"0,041450777202073","0,061538461538462",GO:0002697,GO:BP,regulation of immune effector process,25952,1351,,
TRUE,"0,010515935388853",5372,193,66,"0,341968911917098","0,01228592702904",GO:0043170,GO:BP,macromolecule metabolic process,25952,12238,,
TRUE,"0,011145345293267",3853,193,52,"0,269430051813472","0,013495977160654",GO:0051716,GO:BP,cellular response to stimulus,25952,16130,,
TRUE,"0,012841590462593",19,193,4,"0,020725388601036","0,210526315789474",GO:0045824,GO:BP,negative regulation of innate immune response,25952,13602,,
TRUE,"0,012841590462593",19,193,4,"0,020725388601036","0,210526315789474",GO:0045071,GO:BP,negative regulation of viral genome replication,25952,13176,,
TRUE,"0,013065114158801",67,193,6,"0,031088082901554","0,08955223880597",GO:0045088,GO:BP,regulation of innate immune response,25952,13178,,
TRUE,"0,015902958395463",104,193,7,"0,036269430051814","0,067307692307692",GO:0019058,GO:BP,viral life cycle,25952,6452,,
TRUE,"0,017918489130218",42,193,5,"0,025906735751295","0,119047619047619",GO:0045069,GO:BP,regulation of viral genome replication,25952,13174,,
TRUE,"0,019599276283692",21,193,4,"0,020725388601036","0,19047619047619",GO:0006956,GO:BP,complement activation,25952,2908,,
TRUE,"0,024658441516757",558,193,15,"0,077720207253886","0,026881720430108",GO:0080134,GO:BP,regulation of response to stress,25952,20987,,
TRUE,"0,031492783301176",1888,193,31,"0,160621761658031","0,016419491525424",GO:0042221,GO:BP,response to chemical,25952,11670,,
TRUE,"0,033571380811099",160,193,8,"0,041450777202073","0,05",GO:0002683,GO:BP,negative regulation of immune system process,25952,1337,,
TRUE,"0,038508936009717",49,193,5,"0,025906735751295","0,102040816326531",GO:0050777,GO:BP,negative regulation of immune response,25952,15380,,
TRUE,"0,040138218610838",9,193,3,"0,015544041450777","0,333333333333333",GO:0060330,GO:BP,regulation of response to interferon-gamma,25952,17175,,
TRUE,"0,040138218610838",9,193,3,"0,015544041450777","0,333333333333333",GO:0060334,GO:BP,regulation of interferon-gamma-mediated signaling pathway,25952,17179,,
TRUE,"0,044253067115089",1295,193,24,"0,124352331606218","0,018532818532819",GO:0010033,GO:BP,response to organic substance,25952,4328,,
TRUE,"0,038739385957103",3,193,2,"0,010362694300518","0,666666666666667",GO:0000220,GO:CC,vacuolar proton-transporting V-type ATPase, V0 domain,25952,38,
TRUE,"3,80793269800704E-11",11593,193,137,"0,709844559585492","0,011817476063142",GO:0003674,GO:MF,molecular_function,25952,406,,
TRUE,"5,16163274556469E-09",8678,193,110,"0,569948186528497","0,012675731735423",GO:0005488,GO:MF,binding,25952,1874,,
TRUE,"9,7015285389314E-07",18,193,6,"0,031088082901554","0,333333333333333",GO:0003950,GO:MF,NAD+ ADP-ribosyltransferase activity,25952,632,,
TRUE,"4,94069711715138E-05",1546,193,32,"0,16580310880829","0,020698576972833",GO:0097367,GO:MF,carbohydrate derivative binding,25952,10377,,
TRUE,"5,13112838203079E-05",4272,193,61,"0,316062176165803","0,014279026217229",GO:0003824,GO:MF,catalytic activity,25952,520,,
TRUE,"5,22955364195337E-05",3461,193,53,"0,274611398963731","0,015313493210055",GO:0097159,GO:MF,organic cyclic compound binding,25952,10344,,
TRUE,"9,33848530734256E-05",3424,193,52,"0,269430051813472","0,015186915887851",GO:1901363,GO:MF,heterocyclic compound binding,25952,11925,,
TRUE,"0,000100692589698",1849,193,35,"0,181347150259067","0,018929150892374",GO:0016787,GO:MF,hydrolase activity,25952,3777,,
TRUE,"0,000234456126025",23,193,5,"0,025906735751295","0,217391304347826",GO:0008009,GO:MF,chemokine activity,25952,1934,,
TRUE,"0,000263911891564",1418,193,29,"0,150259067357513","0,020451339915374",GO:0017076,GO:MF,purine nucleotide binding,25952,3978,,
TRUE,"0,000314436094804",3459,193,51,"0,264248704663212","0,014744145706852",GO:0043167,GO:MF,ion binding,25952,6803,,
TRUE,"0,00054907664673",27,193,5,"0,025906735751295","0,185185185185185",GO:0042379,GO:MF,chemokine receptor binding,25952,6673,,
TRUE,"0,000680922260226",583,193,17,"0,088082901554404","0,029159519725558",GO:0017111,GO:MF,nucleoside-triphosphatase activity,25952,4001,,
TRUE,"0,000722586711117",1408,193,28,"0,145077720207254","0,019886363636364",GO:0032555,GO:MF,purine ribonucleotide binding,25952,5429,,
TRUE,"0,000744810909489",1578,193,30,"0,155440414507772","0,019011406844107",GO:0000166,GO:MF,nucleotide binding,25952,35,,
TRUE,"0,000744810909489",1578,193,30,"0,155440414507772","0,019011406844107",GO:1901265,GO:MF,nucleoside phosphate binding,25952,11922,,
TRUE,"0,000827920007434",1418,193,28,"0,145077720207254","0,019746121297602",GO:0032553,GO:MF,ribonucleotide binding,25952,5427,,
TRUE,"0,001327930953829",1370,193,27,"0,139896373056995","0,01970802919708",GO:0035639,GO:MF,purine ribonucleoside triphosphate binding,25952,6370,,
TRUE,"0,001490384445263",57,193,6,"0,031088082901554","0,105263157894737",GO:0016763,GO:MF,transferase activity, transferring pentosyl groups,25952,3756,
TRUE,"0,001547142492033",620,193,17,"0,088082901554404","0,02741935483871",GO:0016462,GO:MF,pyrophosphatase activity,25952,3565,,
TRUE,"0,001627933139033",5273,193,66,"0,341968911917098","0,012516593969278",GO:0005515,GO:MF,protein binding,25952,1891,,
TRUE,"0,001648923582813",623,193,17,"0,088082901554404","0,027287319422151",GO:0016817,GO:MF,hydrolase activity, acting on acid anhydrides,25952,3803,
TRUE,"0,001648923582813",623,193,17,"0,088082901554404","0,027287319422151",GO:0016818,GO:MF,hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides,25952,3804
TRUE,"0,001930555155489",1743,193,31,"0,160621761658031","0,017785427423982",GO:0036094,GO:MF,small molecule binding,25952,6417,,
TRUE,"0,002677029139876",1683,193,30,"0,155440414507772","0,017825311942959",GO:0043168,GO:MF,anion binding,25952,6804,,
TRUE,"0,00507033478547",609,193,16,"0,082901554404145","0,026272577996716",GO:0003723,GO:MF,RNA binding,25952,446,,
